URL,Size (Bytes),# of Outlinks,Content-Type
https://www.nytimes.com/newsletters/easy-mode,110016,20,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/reviews/best-pressure-washer/,795624,809,text/html; charset=utf-8
https://www.nytimes.com/section/t-magazine,617318,73,text/html; charset=utf-8
https://www.nytimes.com/news-event/ukraine-russia,904355,51,text/html; charset=utf-8
https://www.nytimes.com/by/thomas-l-friedman,332541,40,text/html; charset=utf-8
https://www.nytimes.com/section/opinion/health,346449,40,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/electronics/,745190,805,text/html; charset=utf-8
https://www.nytimes.com/section/science,1107822,76,text/html; charset=utf-8
https://www.nytimes.com/athletic/college-basketball/,2195626,195,text/html; charset=utf-8
https://www.nytimes.com/spotlight/puzzle-making,340069,36,text/html; charset=utf-8
https://www.nytimes.com/column/book-review-podcast,323233,44,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/us/politics/electoral-college-270-harris-trump.html,269984,21,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/baby-kid/,562414,788,text/html; charset=utf-8
https://www.nytimes.com/by/charles-m-blow,309191,44,text/html; charset=utf-8
https://www.nytimes.com/column/ask-well,489438,49,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/09/26/nyregion/eric-adams-indictment-charges-annotated.html,412031,41,text/html; charset=utf-8
https://www.nytimes.com/sitemap/,147304,19,text/html; charset=utf-8
https://www.nytimes.com/by/m-gessen,268549,40,text/html; charset=utf-8
https://www.nytimes.com/athletic/nhl/,2182523,221,text/html; charset=utf-8
https://www.nytimes.com/section/well,1328133,62,text/html; charset=utf-8
https://www.nytimes.com/newsletters/upshot,109763,20,text/html; charset=utf-8
https://www.nytimes.com/section/todayspaper,1532794,72,text/html; charset=utf-8
https://www.nytimes.com/athletic/nfl/schedule/,1792496,151,text/html; charset=utf-8
https://www.nytimes.com/section/world/asia,504907,41,text/html; charset=utf-8
https://www.nytimes.com/column/the-culture-desk,1109820,40,text/html; charset=utf-8
https://www.nytimes.com/spotlight/critics-picks,464730,40,text/html; charset=utf-8
https://www.nytimes.com/athletic/tennis/,1894789,165,text/html; charset=utf-8
https://www.nytimes.com/by/lydia-polgreen,552481,50,text/html; charset=utf-8
https://www.nytimes.com/interactive/2022/podcasts/serial-productions.html,194629,61,text/html; charset=utf-8
https://www.nytimes.com/spotlight/opinion-video,544221,50,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/us/elections/polls-president.html,1147502,50,text/html; charset=utf-8
https://www.nytimes.com/spotlight/spelling-bee-forum,306468,40,text/html; charset=utf-8
https://www.nytimes.com/by/zeynep-tufekci,211543,42,text/html; charset=utf-8
https://www.nytimes.com/section/movies,606451,58,text/html; charset=utf-8
https://www.nytimes.com/audio/app,90714,7,text/html; charset=utf-8
https://www.nytimes.com/section/us,959316,43,text/html; charset=utf-8
https://www.nytimes.com/section/markets-overview,135886,29,text/html; charset=utf-8
https://www.nytimes.com/newsletters/read-like-the-wind,110144,20,text/html; charset=utf-8
https://www.nytimes.com/section/upshot,647623,52,text/html; charset=utf-8
https://www.nytimes.com/section/business/economy,705289,50,text/html; charset=utf-8
https://www.nytimes.com/column/the-hunt,455454,48,text/html; charset=utf-8
https://www.nytimes.com/section/business/energy-environment,745859,51,text/html; charset=utf-8
https://www.nytimes.com/newsletters/morning-briefing-europe,109730,20,text/html; charset=utf-8
https://www.nytimes.com/athletic/nfl/,2053384,213,text/html; charset=utf-8
https://www.nytimes.com/spotlight/donald-trump,934658,52,text/html; charset=utf-8
https://www.nytimes.com/privacy/cookie-policy#how-do-i-manage-trackers,126487,27,text/html; charset=utf-8
https://www.nytimes.com/column/36-hours,387536,40,text/html; charset=utf-8
https://www.nytimes.com/section/opinion/editorials,485409,41,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/deals/,1241642,843,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/us/elections/voting-deadlines-state.html,269491,32,text/html; charset=utf-8
https://www.nytimes.com/by/ezra-klein,279961,40,text/html; charset=utf-8
https://www.nytimes.com/international/,1000024,312,text/html; charset=utf-8
https://www.nytimes.com/athletic/5698572/2024/09/10/nfl-playoff-2024-chances-projections-probabilities/,8864456,155,text/html; charset=utf-8
https://www.nytimes.com/column/op-docs,382706,48,text/html; charset=utf-8
https://www.nytimes.com/column/matter-of-opinion,595856,37,text/html; charset=utf-8
https://www.nytimes.com/newsletters?newsletter_signup=true&product_code=UFN&label=toolbox,93483,19,text/html; charset=utf-8
https://www.nytimes.com/column/popcast-pop-music-podcast,300059,41,text/html; charset=utf-8
https://www.nytimes.com/spotlight/connections-companion,315101,40,text/html; charset=utf-8
https://www.nytimes.com/athletic/football/mls/,1984131,199,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/appliances/,534467,780,text/html; charset=utf-8
https://www.nytimes.com/privacy/manage-settings,97265,11,text/html; charset=utf-8
https://www.nytimes.com/column/election-run-up-podcast,639819,40,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/books/best-books-21st-century.html,1178638,758,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/health-fitness/,567315,792,text/html; charset=utf-8
https://www.nytimes.com/puzzles/spelling-bee,105866,24,text/html; charset=utf-8
https://www.nytimes.com/section/books,611482,67,text/html; charset=utf-8
https://www.nytimes.com/section/education,1350232,60,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/reviews/best-office-chair/,918140,852,text/html; charset=utf-8
https://www.nytimes.com/spotlight/best-restaurants,365300,33,text/html; charset=utf-8
https://www.nytimes.com/news-event/economy-business-us,701082,41,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/travel/,548679,785,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/us/elections/presidential-election-swing-states.html,1009844,41,text/html; charset=utf-8
https://www.nytimes.com/column/the-ethicist,357289,41,text/html; charset=utf-8
https://www.nytimes.com/spotlight/joe-biden,1248013,61,text/html; charset=utf-8
https://www.nytimes.com/section/style,859567,64,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/home-garden/,702702,800,text/html; charset=utf-8
https://www.nytimes.com/newsletters/gameplay,109795,20,text/html; charset=utf-8
https://www.nytimes.com/newsletters/canada-letter,110031,20,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/podcasts/serial-season-four-guantanamo.html,229119,42,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/reviews/best-cordless-stick-vacuum/,884428,827,text/html; charset=utf-8
https://www.nytimes.com/spotlight/abortion-news,929882,50,text/html; charset=utf-8
https://www.nytimes.com/newsletters/clean-everything,109821,20,text/html; charset=utf-8
https://www.nytimes.com/spotlight/books-to-read,588155,55,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/us/elections/early-vote-tracker-2024.html,355727,35,text/html; charset=utf-8
https://www.nytimes.com/games/strands,93403,24,text/html; charset=utf-8
https://www.nytimes.com/section/opinion/culture,454448,41,text/html; charset=utf-8
https://www.nytimes.com/column/the-headlines,1237698,40,text/html; charset=utf-8
https://www.nytimes.com/newsletters/watching,110075,20,text/html; charset=utf-8
https://www.nytimes.com/athletic/golf/,1900026,160,text/html; charset=utf-8
https://www.nytimes.com/by/david-brooks,457708,47,text/html; charset=utf-8
https://www.nytimes.com/column/california-today,361500,41,text/html; charset=utf-8
https://www.nytimes.com/athletic/,2423687,202,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/reviews/best-robot-vacuum/,748592,822,text/html; charset=utf-8
https://www.nytimes.com/spotlight/lifestyle,1250273,96,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/09/26/opinion/donald-trump-personality-history.html,388316,83,text/html; charset=utf-8
https://www.nytimes.com/games/wordle/index.html,77634,0,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/reviews/best-electric-toothbrush/,825653,862,text/html; charset=utf-8
https://www.nytimes.com/section/opinion,564545,79,text/html; charset=utf-8
https://www.nytimes.com/newsletters/audio,110066,20,text/html; charset=utf-8
https://www.nytimes.com/by/gail-collins,345245,40,text/html; charset=utf-8
https://www.nytimes.com/newsletters/the-recommendation,109894,20,text/html; charset=utf-8
https://www.nytimes.com/section/world/africa,588170,42,text/html; charset=utf-8
https://www.nytimes.com/section/arts/dance,628956,53,text/html; charset=utf-8
https://www.nytimes.com/news-event/israel-hamas-gaza,1193079,60,text/html; charset=utf-8
https://www.nytimes.com/by/jamelle-bouie,277174,42,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/make-a-plan/moving/,827071,860,text/html; charset=utf-8
https://www.nytimes.com/wirecutter,737788,842,text/html; charset=utf-8
https://www.nytimes.com/crosswords/game/mini,93311,24,text/html; charset=utf-8
https://www.nytimes.com/section/obituaries,768588,72,text/html; charset=utf-8
https://www.nytimes.com/section/nyregion,805882,54,text/html; charset=utf-8
